Light_Intensity,Temperature,Humidity,Minute_Of_Day,LED_On
29.1,27.9,58.9,100,0
0.0,31.0,55.8,1439,1
6.7,29.7,57.6,1397,1
89.6,24.5,85.8,588,1
22.4,26.2,59.3,226,0
0.0,25.8,48.5,170,1
0.0,31.1,62.6,98,0
191.3,33.6,81.3,984,1
11.4,32.5,62.7,1337,1
28.8,29.0,61.0,1205,1
37.1,30.4,74.7,1398,1
10.4,32.4,78.9,1192,0
0.0,28.1,69.1,1331,1
237.4,24.9,95.4,744,0
0.0,23.2,62.8,274,1
10.8,29.9,68.3,1200,1
207.3,24.7,89.4,484,0
10.7,31.8,69.2,1260,1
0.0,23.0,86.0,307,1
22.6,25.9,56.0,278,0
337.5,23.4,67.5,586,0
43.3,25.9,73.6,462,1
1.0,22.0,79.7,377,1
0.0,23.1,80.7,405,0
31.7,28.2,70.5,358,1
36.7,29.7,78.3,1208,1
0.0,29.7,75.7,1144,1
3.4,27.0,66.9,174,0
0.0,34.0,85.6,1083,1
0.0,32.7,68.5,1303,1
338.3,25.9,77.8,868,0
3.1,26.8,66.2,180,1
387.7,24.5,76.5,689,0
0.0,26.1,70.8,355,0
0.0,31.4,68.5,1124,1
0.0,27.4,57.3,180,0
348.9,27.4,79.8,842,0
217.6,26.6,68.0,501,0
0.0,25.9,76.0,247,0
391.7,24.7,90.1,775,0
0.0,33.6,74.5,1337,1
164.5,32.0,73.3,1044,0
0.0,24.2,73.6,287,0
270.0,22.0,72.9,951,0
0.0,32.5,70.4,1099,1
329.3,26.1,92.9,810,1
302.2,29.1,91.5,929,0
130.6,30.4,84.6,855,1
0.0,30.0,73.4,1261,1
9.4,24.7,66.1,196,0
0.0,22.0,83.0,369,1
336.0,33.4,74.8,906,0
0.0,33.2,66.3,1438,1
55.7,33.2,77.4,1301,1
1.7,28.1,66.0,1250,0
0.0,29.0,67.8,1311,1
22.2,33.4,73.5,1258,1
93.1,24.9,85.1,428,1
108.0,29.5,74.1,1013,0
292.1,26.3,85.1,916,0
21.4,33.6,74.2,1328,1
314.0,27.7,89.9,548,0
277.6,25.0,81.7,576,0
29.8,27.5,62.6,83,1
95.5,27.0,79.9,518,1
120.0,30.3,74.3,970,0
335.4,27.8,87.9,607,0
154.1,23.4,83.1,564,0
0.0,36.0,48.4,1305,1
139.8,29.1,82.9,961,1
0.0,25.6,64.0,189,0
103.2,30.7,83.4,952,1
10.9,31.7,84.6,1163,1
139.0,28.8,76.4,887,1
26.7,30.0,66.8,1215,1
0.0,24.0,68.1,258,0
52.2,24.4,62.0,358,0
120.4,30.7,80.8,990,1
31.3,28.4,68.5,10,0
38.0,33.6,71.9,1085,1
0.0,26.8,72.3,185,1
101.0,33.4,91.9,991,1
222.2,22.0,74.5,518,0
31.7,31.5,64.1,1427,1
30.0,30.0,63.0,72,0
116.9,24.7,91.8,478,0
150.7,27.9,88.2,842,0
35.8,26.2,83.6,415,1
0.0,22.7,70.9,355,0
19.3,30.6,79.4,40,0
329.8,26.0,91.7,895,0
0.0,30.3,59.2,1354,1
0.0,25.1,65.5,397,1
173.9,31.9,80.5,1016,0
0.0,26.3,69.5,76,0
187.3,27.3,77.1,482,0
70.0,26.0,74.1,513,1
124.4,26.1,92.7,731,1
0.0,23.0,75.3,323,0
34.2,28.2,71.8,305,0
0.0,32.8,66.6,1181,1
40.7,32.8,71.9,1150,1
40.5,30.6,64.0,1247,1
0.0,28.4,73.7,146,0
97.1,28.7,86.0,1007,1
40.6,32.4,72.4,983,0
122.9,27.7,77.3,677,1
116.5,28.7,92.5,926,1
153.8,26.8,90.1,893,0
208.4,27.6,90.6,774,0
3.5,32.8,75.5,1375,1
7.9,27.7,57.3,40,0
82.9,29.4,78.3,980,1
63.3,32.4,81.5,178,0
386.7,28.0,95.8,890,0
14.9,27.4,72.6,213,0
33.0,28.1,69.6,235,0
51.9,29.7,82.0,1052,1
232.2,31.5,79.4,1017,0
25.9,32.2,69.4,1127,1
337.3,26.8,77.2,653,0
8.8,28.5,89.9,1157,1
5.6,28.7,61.7,122,0
108.1,24.6,86.0,443,1
139.3,24.1,67.4,780,1
11.0,29.5,60.8,5,0
139.3,27.8,83.8,798,1
0.0,29.1,61.0,81,0
0.0,31.4,60.2,1370,1
9.8,26.9,75.4,222,0
40.8,29.9,68.1,1438,1
21.3,35.5,70.6,1087,1
33.3,25.8,67.3,304,0
62.2,30.6,54.2,51,0
182.4,27.3,71.1,968,0
124.9,23.5,69.1,466,1
22.5,30.4,71.4,1100,1
15.9,31.9,94.5,1227,1
27.2,29.4,60.6,45,0
4.7,24.8,66.4,243,0
303.0,28.6,77.6,955,0
0.0,23.0,76.0,323,0
41.5,25.3,67.4,427,1
421.3,27.6,76.9,771,0
144.0,30.0,90.8,916,1
0.0,29.7,68.5,153,0
0.0,33.0,76.4,1099,1
122.7,22.6,91.8,675,1
271.2,32.0,82.4,909,0
148.0,26.3,74.1,633,1
144.2,22.0,86.0,582,1
27.7,30.3,76.9,1149,1
9.6,24.5,55.8,209,0
366.8,26.0,87.1,689,0
0.0,30.4,71.5,1370,1
77.9,29.1,70.9,84,0
0.0,34.3,72.0,1436,1
0.0,34.8,71.2,1305,1
5.3,29.5,83.0,1122,1
30.4,26.9,62.0,280,0
129.4,27.8,90.0,426,1
8.6,22.7,59.9,406,1
340.8,28.9,91.5,799,0
0.0,30.5,57.7,1396,1
0.0,29.6,76.3,1322,1
14.1,31.0,72.1,166,0
117.2,30.0,73.2,1065,1
109.3,28.7,79.9,939,1
0.0,30.8,62.8,1355,1
0.0,33.6,80.9,1105,1
0.0,33.4,63.7,1089,1
102.0,29.3,75.7,1053,1
98.7,32.1,76.3,1153,1
110.1,29.8,66.8,907,1
90.9,26.1,67.2,474,1
8.5,28.8,74.7,26,0
165.5,32.8,64.9,969,0
352.9,26.8,76.9,716,1
0.0,30.1,83.2,1249,1
373.0,25.5,86.6,614,0
13.9,27.0,80.3,276,0
381.6,23.8,78.4,681,0
222.5,30.9,68.8,1004,0
51.9,25.2,73.2,349,0
24.8,26.9,68.5,30,0
0.0,22.0,56.8,241,0
98.0,31.1,84.7,824,1
0.0,25.8,63.3,270,0
28.1,32.1,68.5,1273,0
0.0,28.8,73.4,1389,1
32.3,28.8,62.8,29,0
27.8,35.2,87.0,1055,1
124.8,33.9,80.2,946,1
221.0,22.0,87.2,519,0
0.0,31.6,81.9,1094,1
26.7,35.6,73.0,1273,1
0.0,26.4,71.8,270,0
0.0,30.4,79.4,88,0
163.2,27.7,85.4,866,0
19.0,25.6,80.9,380,1
16.9,29.9,56.2,188,0
0.0,31.0,70.9,19,0
388.5,23.6,93.1,754,0
20.9,30.6,69.3,1197,1
73.6,33.4,78.0,1274,1
54.3,24.4,67.1,383,1
124.5,26.9,76.0,888,1
0.0,29.3,69.5,1376,1
438.3,25.0,87.4,795,0
21.7,30.0,62.0,1355,1
0.0,32.4,65.2,1090,0
7.6,30.8,77.3,1316,1
0.0,31.2,52.7,1387,1
30.5,32.2,76.0,1142,1
42.7,32.4,58.6,1398,1
87.6,29.2,79.7,1065,1
316.6,27.4,81.1,580,0
190.4,22.0,93.2,482,0
130.4,23.5,88.7,455,1
326.7,23.3,80.7,564,0
108.4,28.4,89.3,1019,1
27.4,24.6,50.5,95,0
6.3,27.6,71.3,310,0
0.0,27.7,67.8,290,0
255.7,25.0,63.6,495,0
4.5,24.5,66.4,294,0
140.0,29.8,86.9,1073,1
76.7,31.2,73.9,1156,1
107.3,23.5,84.2,521,1
235.2,31.6,71.2,983,1
171.9,29.0,72.8,976,0
364.5,23.5,83.7,707,1
37.9,24.8,77.8,379,1
0.0,28.1,71.2,141,0
242.6,25.1,82.4,545,1
0.0,31.8,60.9,66,0
0.0,27.2,62.2,133,0
276.0,30.9,76.6,910,0
30.4,29.3,59.4,71,0
0.0,32.9,58.5,1425,1
324.2,26.6,86.4,544,0
0.0,23.7,72.8,304,0
0.0,35.8,72.2,1279,1
350.6,24.9,81.3,653,0
9.6,29.2,65.7,1374,1
17.4,22.3,60.3,417,1
103.3,30.9,89.7,854,1
16.7,27.8,75.5,325,0
0.0,34.1,73.4,1172,1
134.1,22.9,87.3,536,1
57.2,31.1,81.5,1289,1
40.3,28.7,66.1,1163,0
386.3,24.6,96.0,682,0
0.0,31.8,85.1,1088,1
0.0,34.9,69.1,1142,1
16.1,27.4,57.6,177,0
332.6,27.3,85.9,875,0
49.4,29.6,74.4,107,0
22.0,33.7,59.9,1206,1
0.0,32.1,55.4,81,0
0.0,30.5,72.6,1273,1
29.5,27.7,67.4,167,0
33.5,25.4,79.2,328,0
369.1,27.5,86.0,889,0
163.7,22.9,85.0,555,0
213.7,23.5,81.3,527,0
9.8,27.6,65.3,33,0
136.1,27.8,87.3,909,1
40.3,22.7,61.6,306,0
220.6,24.0,79.6,504,0
2.4,26.2,64.4,206,0
29.4,27.9,61.4,74,0
6.3,27.0,72.9,211,0
0.0,25.1,71.5,27,0
3.6,30.8,81.3,1088,1
273.3,24.5,88.6,546,0
0.5,33.9,72.2,1258,1
321.0,29.2,72.2,895,0
30.1,34.4,65.9,1275,1
6.4,28.6,78.5,1105,1
134.5,31.1,83.3,934,1
15.6,32.6,77.1,1216,1
0.0,29.8,67.8,1402,1
40.6,32.1,68.7,1267,1
0.0,33.2,61.6,181,0
0.0,29.3,62.7,90,0
166.4,26.2,93.2,776,0
8.7,31.7,62.6,51,0
158.0,29.6,86.4,1017,0
417.9,24.4,71.0,778,0
0.0,29.8,61.3,236,0
56.9,22.0,62.1,391,1
31.1,30.1,61.8,988,0
185.5,23.9,65.4,482,0
0.0,25.3,66.6,187,1
0.0,28.8,86.6,1138,1
13.2,29.7,52.2,1,0
126.2,24.9,82.2,570,1
14.8,29.1,66.1,230,0
218.9,22.5,80.4,528,0
158.2,24.4,83.2,756,0
193.2,30.0,79.3,799,0
234.5,23.2,64.1,568,0
0.0,24.5,77.0,316,0
305.1,31.5,90.3,909,0
0.0,22.0,72.2,340,0
131.5,27.6,80.4,981,1
144.4,26.9,71.2,545,1
59.1,29.6,73.6,1062,1
0.0,30.8,72.2,1293,1
61.7,29.9,69.5,1050,1
0.0,27.4,65.5,174,0
5.5,30.9,89.6,1151,1
0.0,32.3,71.7,1211,1
354.2,30.5,74.6,855,0
131.0,26.4,98.0,864,1
32.1,25.8,70.9,201,0
213.6,24.1,73.4,506,0
0.0,34.6,74.2,1103,1
0.0,30.2,51.7,1391,1
161.9,28.2,73.4,1012,0
287.8,22.0,90.6,617,0
108.0,22.5,70.1,524,1
102.5,22.4,70.8,586,1
67.0,28.4,85.1,1035,1
14.2,32.0,90.0,1143,1
378.4,25.5,89.4,731,0
101.4,27.0,91.7,468,1
0.0,25.0,65.8,392,1
219.5,32.0,83.7,981,0
3.7,31.7,79.0,1217,0
18.4,29.7,62.3,1373,1
333.6,29.2,76.1,887,1
12.5,29.6,71.6,1172,1
302.7,30.3,86.5,866,0
72.3,28.5,63.2,41,0
398.8,28.4,86.3,798,0
52.0,26.8,60.0,287,0
130.6,22.6,86.1,613,1
81.6,31.5,88.1,924,0
0.0,32.9,67.5,93,0
40.1,22.6,71.4,443,1
342.9,23.2,70.8,637,0
97.3,31.0,78.4,1079,1
0.0,29.7,61.8,173,0
0.0,32.4,78.0,22,0
160.0,23.8,95.0,604,0
65.5,29.3,67.1,943,1
102.3,30.1,75.5,1078,1
287.1,28.2,76.0,935,0
17.0,30.4,56.8,1373,1
123.6,22.0,80.7,563,1
101.0,32.6,71.3,1055,1
0.0,25.4,65.1,304,1
0.0,34.5,66.9,1118,1
23.3,28.6,78.5,185,1
406.8,25.2,83.4,764,0
12.3,28.5,64.8,1415,1
344.2,30.7,94.7,824,0
68.6,24.6,63.8,123,0
126.7,23.5,84.6,549,1
0.0,24.5,66.6,351,0
22.1,28.7,61.0,0,0
0.0,29.8,67.3,1340,1
28.6,28.4,66.9,1419,1
346.9,25.5,90.6,818,0
133.7,24.0,86.2,456,1
0.0,32.1,74.6,1082,1
357.1,25.9,93.3,826,0
117.3,23.1,75.5,570,1
181.7,27.9,85.7,986,0
183.4,24.3,74.1,496,0
0.0,25.3,66.8,322,0
336.5,25.3,91.9,612,0
26.5,23.5,57.1,406,1
256.4,28.2,85.3,986,0
28.2,30.0,66.6,50,0
23.7,32.9,69.3,1279,1
0.0,24.2,82.9,285,0
79.1,22.7,71.4,532,1
84.0,28.4,68.2,1032,1
0.0,28.5,74.2,1423,1
0.0,30.9,68.3,1223,1
26.7,27.4,75.0,114,0
121.8,26.1,88.9,640,1
0.0,25.2,75.1,358,0
84.4,26.7,75.9,422,1
8.9,29.5,65.9,222,0
83.3,30.9,93.5,1029,1
310.1,22.0,78.8,600,0
0.0,26.8,78.3,288,1
165.1,30.3,76.3,899,1
41.2,32.1,70.5,1077,1
0.0,29.7,66.8,72,0
0.0,31.4,66.7,1273,1
115.9,22.2,91.3,632,1
371.3,27.3,82.8,721,0
30.9,26.6,63.8,181,0
32.4,32.5,57.8,1298,1
3.2,23.4,93.7,400,1
330.1,28.5,71.8,655,0
4.8,32.3,92.9,1290,1
14.3,30.1,70.7,1383,1
0.2,24.7,71.5,213,0
151.5,25.2,71.6,858,0
0.0,31.2,69.4,57,0
0.0,30.3,53.9,1356,1
0.0,27.1,65.0,128,0
175.1,25.9,93.4,803,0
2.4,23.0,60.9,312,0
113.8,30.2,82.8,1063,0
0.0,30.1,62.1,29,0
3.1,23.2,76.9,318,0
7.0,25.8,61.7,340,0
59.2,29.6,80.6,1209,1
138.4,28.2,87.6,950,1
25.2,26.7,63.3,281,0
206.1,30.0,73.8,1003,0
73.2,22.0,92.2,553,0
39.0,26.4,66.6,1239,0
68.6,32.0,70.9,1067,1
11.0,25.9,79.2,408,1
0.3,28.9,71.5,139,0
416.4,25.5,80.6,723,0
131.6,27.5,95.1,877,1
24.3,31.7,72.4,1183,1
0.0,32.6,82.3,1139,1
0.0,27.7,73.6,169,0
0.0,27.7,57.3,218,0
12.2,28.6,79.3,244,1
0.0,28.1,73.2,41,0
4.6,26.6,70.6,211,0
347.5,23.5,65.4,665,0
10.4,30.0,67.2,1438,0
251.7,23.9,74.8,553,0
17.7,29.7,55.4,1325,1
0.0,28.8,68.7,1213,1
0.0,29.3,55.0,1151,1
0.0,31.7,64.5,1406,1
417.2,24.7,93.7,773,0
0.0,31.0,70.7,1345,1
399.1,27.1,94.0,791,0
34.6,33.3,63.8,1327,1
56.0,25.4,73.6,249,0
10.3,27.5,59.2,195,0
121.5,24.7,69.1,831,1
150.7,23.8,73.2,565,0
245.3,28.0,74.1,967,0
281.0,23.9,75.8,580,0
39.6,24.8,84.8,404,0
123.1,28.6,80.9,928,1
0.0,29.2,82.1,19,0
61.1,30.5,92.2,976,1
0.0,31.2,61.9,1218,1
189.1,23.2,88.2,496,0
0.0,23.1,80.8,338,0
0.0,32.5,72.1,1139,1
440.4,25.9,85.2,720,0
0.0,27.0,61.1,178,0
0.0,22.5,94.1,411,1
21.4,36.5,80.9,1288,1
63.3,22.0,77.7,493,1
14.7,30.3,80.4,1276,1
0.0,25.0,66.4,252,0
296.0,26.0,89.7,568,0
0.0,30.8,68.4,1353,1
144.2,30.4,79.3,986,1
374.3,24.3,76.5,705,0
0.0,35.2,61.7,1352,1
280.8,29.8,86.9,928,0
0.0,26.7,66.9,156,0
0.0,33.3,65.3,1298,0
124.2,23.5,91.6,498,1
354.6,31.7,84.7,885,0
0.0,28.7,70.0,263,0
0.8,32.1,62.0,1333,1
395.7,25.5,87.4,766,0
92.5,25.7,89.4,816,1
14.3,33.6,73.6,1144,1
375.0,30.9,88.4,892,0
100.5,28.5,76.8,923,1
0.0,32.4,57.7,1353,1
143.3,27.0,82.9,769,1
211.6,31.8,83.4,990,0
0.0,29.9,74.6,1349,1
97.2,25.0,95.5,479,1
0.0,36.5,75.2,1255,0
62.5,29.2,49.1,68,0
0.0,26.9,79.4,266,0
22.5,25.9,75.7,327,0
394.3,26.3,79.1,701,1
0.0,28.5,84.2,1045,1
0.0,36.0,71.3,1277,1
0.0,32.1,64.1,1295,1
35.9,31.1,66.0,7,0
162.0,30.2,72.8,977,1
361.3,26.4,82.1,619,1
312.7,23.1,71.6,597,0
8.4,28.8,78.4,1111,1
386.5,26.7,87.6,808,1
271.0,25.1,91.1,588,0
342.7,27.3,91.7,887,0
0.0,30.1,69.7,1097,1
7.9,27.7,71.0,186,0
31.7,27.2,68.7,60,0
173.8,26.0,73.6,507,0
283.4,23.5,89.3,572,0
343.3,25.5,81.1,649,0
163.9,24.6,79.5,783,0
0.0,27.2,73.7,414,1
0.0,32.4,52.9,1339,0
312.8,29.2,69.5,892,0
0.0,29.3,72.6,1311,0
23.3,30.0,69.7,1115,1
16.6,32.3,58.1,1316,1
346.0,25.8,70.7,870,1
0.0,29.6,55.2,1417,1
98.7,25.6,71.4,447,1
137.7,23.3,67.7,602,1
184.4,24.7,85.3,485,0
331.9,26.3,87.0,884,0
42.7,31.2,58.6,22,0
0.0,27.8,75.4,6,0
29.8,32.7,69.3,1135,1
0.0,32.3,66.0,155,0
331.1,23.1,92.7,540,0
31.8,22.8,74.8,425,1
152.5,30.3,90.1,863,0
93.4,24.3,87.6,576,1
0.0,27.7,61.1,44,0
99.5,31.5,75.4,1070,1
20.9,29.5,54.4,95,0
0.0,30.2,52.6,1103,1
399.1,24.7,78.8,757,0
13.3,33.6,69.8,1304,1
0.0,28.0,55.2,28,0
6.1,26.3,70.3,96,0
93.2,27.5,78.5,944,1
155.2,29.7,91.6,871,0
170.9,25.5,76.4,744,0
119.6,27.9,81.6,909,1
219.9,29.9,70.3,994,0
38.7,33.0,54.7,1254,1
0.0,27.6,72.9,384,1
72.7,31.5,55.7,1406,1
91.8,33.9,79.5,1004,1
0.0,26.0,78.4,391,1
469.0,25.4,73.4,778,0
0.0,27.8,76.6,251,0
163.7,31.3,70.4,963,0
0.0,30.3,60.6,161,0
0.0,26.0,69.7,385,1
232.5,30.2,81.7,962,0
0.0,23.6,79.5,376,1
3.1,32.3,74.2,1208,1
11.0,27.0,59.4,28,0
235.0,29.7,84.2,960,0
190.3,27.6,86.8,977,0
340.3,25.5,78.9,640,1
0.0,29.7,53.8,172,0
125.9,28.6,80.9,859,1
18.3,31.7,79.1,1256,1
368.3,24.0,97.5,640,0
333.8,31.4,65.0,933,0
0.0,33.8,70.1,1310,1
72.1,22.0,82.9,507,1
18.4,31.3,77.0,1427,1
0.0,31.5,66.7,1414,1
0.0,29.6,66.5,15,0
9.7,29.1,65.1,1280,1
101.4,24.9,74.4,912,1
191.3,24.3,75.5,514,0
18.2,28.1,78.1,1121,1
163.9,24.1,75.3,713,0
60.0,32.8,84.7,1111,1
31.5,32.7,70.1,1309,1
57.0,22.8,67.5,517,1
0.0,26.3,77.1,365,0
113.4,28.0,80.1,829,0
0.0,30.5,88.3,1117,1
37.9,34.5,62.4,1117,1
0.0,30.0,64.3,113,0
38.4,22.4,73.3,539,1
101.6,22.0,90.6,732,1
94.4,28.4,91.2,885,1
0.0,27.0,55.4,172,0
138.7,24.6,85.0,638,1
0.0,31.5,83.7,1212,1
407.3,22.6,91.6,826,0
13.3,23.6,90.1,431,1
140.3,28.6,80.5,1072,1
0.0,30.4,64.1,1138,1
126.9,27.9,69.1,932,1
0.0,29.2,60.8,87,0
134.0,24.7,71.9,476,1
0.0,32.8,81.6,1262,1
0.0,22.0,88.4,317,0
357.3,28.0,90.1,685,0
381.7,24.7,88.7,893,0
96.4,24.1,70.5,459,1
0.0,25.3,72.0,181,0
340.5,28.6,72.3,843,0
5.2,28.2,63.5,1189,1
47.7,33.1,92.0,987,1
164.8,25.3,87.4,747,0
99.4,31.8,83.3,1044,1
0.0,27.4,45.6,85,0
122.0,29.3,81.4,764,1
426.7,23.3,80.8,766,0
0.0,26.6,76.6,1261,1
258.4,30.7,91.2,881,0
17.8,29.5,79.5,1173,1
124.6,24.0,83.1,569,1
29.9,31.1,77.6,140,0
12.4,30.7,68.6,1123,0
6.4,28.5,64.0,156,0
0.0,33.5,81.9,1303,1
371.9,27.0,85.5,802,0
123.8,26.7,87.9,452,1
1.3,32.9,62.7,1379,1
0.0,25.2,68.9,181,0
0.0,33.3,80.9,1166,1
344.8,24.5,94.3,647,0
286.7,24.5,83.0,658,0
368.8,25.2,72.6,621,0
8.9,30.9,58.0,93,0
159.1,28.1,76.9,975,0
191.1,26.6,83.8,499,0
0.0,31.5,59.2,85,0
31.3,29.6,69.0,1395,0
373.9,31.5,86.0,845,0
145.5,28.7,78.4,944,1
14.9,28.1,52.9,223,0
83.9,23.2,81.6,442,1
172.8,25.6,66.5,521,0
0.0,25.1,76.8,276,0
280.9,29.4,98.0,907,0
399.2,22.0,85.2,725,0
30.9,23.6,70.9,396,1
0.0,30.7,84.6,1191,1
19.3,26.2,77.8,981,0
0.0,29.5,68.5,125,0
0.0,25.2,75.3,293,0
0.0,27.8,68.6,1111,0
70.4,26.4,96.8,676,1
47.1,26.7,84.1,397,1
134.5,23.7,98.0,496,0
0.0,22.2,77.0,336,0
219.8,26.2,77.3,982,0
130.8,26.6,72.3,948,0
0.0,29.8,67.4,1368,1
38.3,31.4,67.2,132,0
31.9,31.6,80.1,1231,1
0.0,24.4,66.4,201,1
114.0,22.9,76.3,546,1
0.0,28.1,55.7,261,0
11.7,33.1,69.2,1220,1
6.9,32.0,62.2,1265,1
268.2,23.8,78.9,553,0
405.7,25.2,83.0,675,0
292.8,24.4,82.8,542,0
496.4,25.6,77.7,728,0
111.5,24.7,78.2,646,1
42.8,31.3,79.5,1280,0
87.6,27.3,80.0,949,1
57.2,23.6,83.3,449,1
25.5,24.8,74.5,449,1
88.2,22.7,75.5,479,1
174.2,26.8,93.2,761,0
8.0,30.7,61.1,101,0
94.4,25.9,91.6,691,1
270.5,23.0,86.8,562,0
198.8,25.4,81.6,662,0
169.4,24.8,74.5,600,0
375.2,28.4,89.9,842,0
183.7,32.0,77.1,956,0
147.7,27.7,77.7,996,1
0.0,29.4,61.0,66,0
42.3,30.0,63.8,1022,1
132.6,22.7,84.8,695,1
3.7,28.9,58.2,1128,1
39.3,33.2,71.3,1322,1
106.8,28.0,82.8,1074,1
133.9,30.6,79.1,963,1
22.2,25.4,62.5,330,0
138.1,26.3,88.0,841,1
0.0,29.7,45.0,133,0
0.0,22.8,72.3,336,0
0.0,26.9,76.7,150,0
0.0,27.8,67.4,52,0
144.9,27.5,79.9,721,1
0.0,34.4,60.4,1230,1
162.1,27.5,98.0,826,0
367.5,31.1,81.7,762,0
42.5,27.9,66.3,201,0
5.0,25.8,70.8,369,1
0.0,33.9,60.3,1311,1
150.8,22.8,62.1,569,0
7.8,25.4,70.2,392,1
13.3,30.1,69.2,1218,0
344.5,25.4,75.3,885,0
337.0,30.2,62.9,864,0
14.7,25.3,69.9,237,0
51.1,31.8,66.1,1374,1
0.0,34.7,78.2,1373,1
61.5,22.0,71.3,345,1
0.0,32.1,49.8,1380,1
7.4,31.8,82.6,1171,1
0.0,25.9,80.5,264,0
47.9,32.0,61.4,1180,1
113.1,25.2,88.8,676,1
37.9,31.0,76.4,13,0
34.2,22.0,90.7,464,1
0.0,31.0,75.7,12,0
0.0,23.7,72.4,277,1
37.9,36.1,67.5,1298,1
0.0,25.0,67.6,301,0
27.8,32.4,64.8,1231,1
0.0,31.5,56.1,151,0
319.7,26.5,87.4,897,0
8.7,26.0,68.5,279,1
0.0,28.0,62.0,1435,1
397.2,25.0,83.5,785,1
83.7,28.0,86.4,1044,1
259.5,30.6,87.7,902,0
17.6,26.3,56.5,317,1
5.2,30.0,84.9,1429,1
352.7,26.0,93.7,833,0
41.8,32.8,61.4,1434,1
56.6,24.1,77.6,457,1
0.0,22.8,74.1,402,1
32.3,26.3,69.3,422,1
411.2,25.7,82.0,767,0
0.0,26.5,64.4,304,0
3.8,31.0,84.9,1043,1
3.3,33.2,52.1,113,0
126.3,23.7,72.4,453,1
136.1,22.0,75.7,646,1
10.1,29.5,79.2,47,0
38.2,32.4,74.3,1298,1
0.0,26.1,76.4,347,0
304.9,30.7,90.9,923,0
10.2,30.7,72.8,1175,1
337.7,28.3,83.5,687,0
367.3,26.5,82.6,647,0
337.0,24.4,78.3,588,0
11.8,26.6,71.9,153,0
176.6,29.9,92.7,735,0
0.0,29.5,71.8,155,0
327.9,27.0,80.1,846,0
252.3,31.8,77.5,917,1
411.9,26.4,98.0,725,0
184.5,33.0,77.1,1009,0
0.0,26.3,77.6,147,0
22.2,31.5,69.3,1178,1
188.7,27.3,80.7,633,0
0.0,30.7,73.5,1250,0
0.0,31.0,87.2,1120,1
5.9,26.4,71.0,1288,1
352.2,25.4,78.9,603,0
138.1,31.3,98.0,913,1
0.0,30.2,71.9,1204,1
30.2,28.9,64.5,144,0
23.4,30.8,72.9,1298,1
0.0,22.2,64.1,307,0
411.0,26.3,91.1,794,1
29.9,29.7,57.0,1438,1
70.8,31.1,82.9,1038,1
228.8,29.4,92.8,1018,0
0.0,29.6,60.9,190,0
0.0,30.3,67.3,1339,1
135.3,27.7,86.5,894,1
383.6,25.0,91.3,635,0
45.8,27.9,70.5,137,0
19.4,26.9,67.0,133,0
290.9,29.1,92.9,957,0
0.0,27.0,71.8,277,0
82.7,33.8,64.8,1224,1
92.6,22.0,73.3,555,0
0.0,32.5,84.5,1097,1
15.3,25.6,79.6,180,0
0.0,33.8,76.4,1119,1
170.0,26.4,71.9,600,0
0.0,30.9,61.0,60,0
91.7,23.0,92.8,590,1
126.5,22.0,88.1,620,1
0.0,34.4,60.4,1199,1
144.4,31.4,86.1,924,1
0.0,27.5,74.6,1106,1
0.0,34.2,73.4,1329,1
0.0,31.5,61.8,1429,0
371.7,24.8,94.3,611,0
198.1,25.3,82.7,807,0
19.5,31.1,45.0,108,0
0.0,30.5,61.4,1351,1
0.0,25.1,72.0,272,0
49.3,22.0,71.1,247,0
0.9,30.0,71.1,1121,1
0.0,30.0,57.5,1225,1
452.2,22.0,93.9,701,0
86.4,33.9,90.6,1069,1
7.4,26.7,60.4,220,0
0.0,29.0,74.9,1316,1
51.3,28.1,85.0,961,1
152.0,23.0,72.1,574,0
14.1,30.7,75.4,1173,1
10.3,26.8,95.2,305,0
348.0,26.4,74.1,810,0
337.4,24.7,94.5,622,0
327.7,24.0,83.3,611,0
78.8,33.2,75.4,1073,1
22.4,34.2,76.5,1370,1
0.0,31.6,62.9,1287,1
62.2,28.9,78.3,1034,1
25.5,30.6,64.3,1398,1
0.0,25.2,58.5,1331,1
152.2,25.2,93.6,649,0
0.0,29.3,73.8,1247,1
130.9,24.7,98.0,661,1
0.0,26.9,71.2,250,0
6.7,30.3,65.5,1363,1
57.7,23.1,77.3,516,1
241.3,24.5,77.7,538,0
48.9,30.7,80.1,1318,1
127.4,26.0,77.6,595,1
8.5,33.4,71.6,1297,1
0.6,32.6,72.2,1104,1
71.6,28.7,54.6,42,0
58.9,25.7,77.6,380,1
3.3,25.5,55.6,221,0
3.0,29.8,67.0,35,0
148.4,22.7,80.0,848,1
68.1,26.5,74.5,431,1
100.6,28.6,83.7,669,1
0.0,32.3,68.1,1318,1
0.0,28.7,66.3,1305,1
75.2,30.4,81.8,1024,1
390.1,28.1,83.7,872,0
155.9,30.0,98.0,964,1
346.3,32.0,75.8,795,0
331.3,26.5,75.7,816,0
22.1,29.7,74.5,1056,0
0.0,32.2,65.5,1168,1
39.0,30.5,87.2,1037,1
112.1,27.5,96.1,928,1
0.0,26.5,61.8,5,0
0.0,32.9,70.5,1372,1
151.1,22.8,86.9,617,0
319.4,26.0,80.0,871,0
409.8,23.5,89.6,719,0
59.1,22.0,84.2,461,1
0.0,33.2,54.6,1306,1
61.8,32.9,63.0,1170,1
65.6,25.6,70.1,355,0
0.0,29.4,63.8,173,0
